epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,20.0168,0.94145,0.92528,1,0.23662,0.000363212,0.000363212,0.000363212
2,39.6047,0.20936,0.96582,1,0.1179,0.000660924,0.000660924,0.000660924
3,58.9896,0.18991,0.94754,1,0.17336,0.00088531,0.00088531,0.00088531
4,78.415,0.24214,0.96105,1,0.14117,0.000781033,0.000781033,0.000781033
5,97.789,0.1552,0.95707,1,0.14553,0.000671044,0.000671044,0.000671044
6,117.215,0.10634,0.97059,1,0.09733,0.000561055,0.000561055,0.000561055
7,136.688,0.12762,0.96741,1,0.10509,0.000451066,0.000451066,0.000451066
8,156.117,0.09404,0.96979,1,0.10114,0.000341077,0.000341077,0.000341077
9,175.543,0.09506,0.97218,1,0.08165,0.000231088,0.000231088,0.000231088
10,194.95,0.04169,0.97297,1,0.08083,0.000121099,0.000121099,0.000121099
