epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.81788,1.68671,2.73152,1.73399,0.87684,0.07533,0.25795,0.09365,1.91855,2.83924,2.17026,0.000470858,0.000470858,0.000470858
2,18.4397,1.73613,2.27873,1.79554,0.20509,0.26533,0.13718,0.05054,2.67731,2.87146,2.8892,0.000928437,0.000928437,0.000928437
3,26.815,1.75392,2.30912,1.84573,0.13738,0.55064,0.16958,0.0549,2.16752,3.93327,2.68434,0.00136715,0.00136715,0.00136715
4,35.0479,1.79334,2.24113,1.88604,0.60661,0.20131,0.11072,0.04791,2.16704,4.15319,2.69098,0.00134412,0.00134412,0.00134412
5,43.4903,1.70126,2.06775,1.79369,0.37762,0.39262,0.31437,0.11588,1.89739,2.32787,2.24113,0.00131582,0.00131582,0.00131582
6,51.8002,1.67962,1.97817,1.76279,0.38118,0.44208,0.38705,0.14201,2.11126,2.35224,2.32721,0.00128753,0.00128753,0.00128753
7,60.0383,1.64079,1.91047,1.7587,0.27473,0.38635,0.23267,0.08906,2.08772,2.60149,2.24044,0.00125923,0.00125923,0.00125923
8,68.2478,1.61214,1.87293,1.72479,0.34908,0.34346,0.32099,0.14122,2.13193,2.27069,2.26989,0.00123094,0.00123094,0.00123094
9,76.5665,1.63498,1.80561,1.71215,0.54988,0.41143,0.43879,0.19102,1.96622,2.23426,2.16763,0.00120265,0.00120265,0.00120265
10,84.8872,1.53617,1.76284,1.68351,0.65647,0.49676,0.52794,0.22897,1.89861,1.92653,2.2089,0.00117435,0.00117435,0.00117435
11,93.0612,1.56071,1.7093,1.66989,0.6398,0.36069,0.39855,0.16978,1.92843,2.40308,2.21548,0.00114606,0.00114606,0.00114606
12,101.286,1.54132,1.71381,1.66811,0.61724,0.52154,0.56733,0.27818,1.80909,1.95576,2.02415,0.00111776,0.00111776,0.00111776
13,109.616,1.50274,1.64489,1.62449,0.50007,0.41488,0.40562,0.16686,1.9637,2.23583,2.27216,0.00108947,0.00108947,0.00108947
14,118.008,1.48455,1.5767,1.60334,0.58483,0.56245,0.61523,0.30978,1.8185,1.77647,1.98668,0.00106118,0.00106118,0.00106118
15,126.257,1.45356,1.55663,1.59238,0.59765,0.67059,0.63567,0.32131,1.77711,1.7179,1.98536,0.00103288,0.00103288,0.00103288
16,134.439,1.42923,1.50522,1.56607,0.65222,0.61319,0.63403,0.32158,1.78663,1.7567,2.02647,0.00100459,0.00100459,0.00100459
17,142.698,1.42785,1.49179,1.57834,0.59749,0.61111,0.61093,0.29738,1.82388,1.73359,2.04211,0.000976293,0.000976293,0.000976293
18,150.919,1.38353,1.45596,1.55218,0.73621,0.6187,0.69489,0.35658,1.69522,1.63881,1.92437,0.000947999,0.000947999,0.000947999
19,159.172,1.38103,1.44681,1.55495,0.73037,0.65549,0.6843,0.36805,1.66372,1.56449,1.90428,0.000919704,0.000919704,0.000919704
20,167.401,1.36545,1.36682,1.51837,0.7013,0.71128,0.73476,0.40058,1.67792,1.42197,1.88067,0.00089141,0.00089141,0.00089141
21,175.695,1.36059,1.3937,1.52836,0.68477,0.60977,0.65746,0.36559,1.6293,1.71655,1.8335,0.000863116,0.000863116,0.000863116
22,183.936,1.34401,1.34815,1.51241,0.75344,0.69512,0.76947,0.44146,1.65365,1.40916,1.87677,0.000834822,0.000834822,0.000834822
23,192.122,1.35125,1.38237,1.53106,0.76064,0.70184,0.74947,0.43904,1.64812,1.47017,1.84394,0.000806528,0.000806528,0.000806528
24,200.321,1.31138,1.3217,1.4846,0.77063,0.69868,0.76839,0.45307,1.64756,1.42453,1.86719,0.000778233,0.000778233,0.000778233
25,208.551,1.30034,1.27373,1.4696,0.73986,0.76928,0.78431,0.48363,1.54577,1.29248,1.76655,0.000749939,0.000749939,0.000749939
26,216.85,1.30528,1.26953,1.47347,0.78177,0.68565,0.71762,0.40371,1.67752,1.51505,1.91446,0.000721645,0.000721645,0.000721645
27,225.108,1.27524,1.24041,1.45584,0.64281,0.72084,0.73649,0.43311,1.59453,1.43596,1.83029,0.000693351,0.000693351,0.000693351
28,233.357,1.25931,1.22369,1.43963,0.77086,0.72181,0.74149,0.44618,1.59699,1.39584,1.8064,0.000665057,0.000665057,0.000665057
29,241.694,1.23779,1.19917,1.43925,0.77753,0.75258,0.80404,0.45453,1.67087,1.30096,1.85728,0.000636762,0.000636762,0.000636762
30,249.998,1.24323,1.18633,1.42694,0.73294,0.78909,0.77521,0.4515,1.62999,1.28842,1.81633,0.000608468,0.000608468,0.000608468
31,258.204,1.23629,1.17996,1.44096,0.75669,0.69619,0.73014,0.42904,1.53189,1.55257,1.76121,0.000580174,0.000580174,0.000580174
32,266.478,1.20893,1.13854,1.40132,0.75387,0.73789,0.77944,0.49168,1.55533,1.31947,1.76476,0.00055188,0.00055188,0.00055188
33,274.8,1.2082,1.14989,1.40666,0.80136,0.74803,0.77524,0.51169,1.45016,1.32914,1.68718,0.000523586,0.000523586,0.000523586
34,283.11,1.20543,1.16335,1.41603,0.71781,0.76132,0.76528,0.50039,1.44253,1.30208,1.69633,0.000495291,0.000495291,0.000495291
35,291.32,1.18479,1.09789,1.37381,0.8025,0.77127,0.79532,0.54666,1.43337,1.24856,1.68301,0.000466997,0.000466997,0.000466997
36,299.467,1.16236,1.09774,1.39254,0.78161,0.72736,0.80418,0.5134,1.51789,1.19964,1.73044,0.000438703,0.000438703,0.000438703
37,307.776,1.15665,1.0752,1.37809,0.82258,0.73244,0.8047,0.5237,1.53362,1.23474,1.73703,0.000410409,0.000410409,0.000410409
38,316.071,1.12875,1.06636,1.36233,0.79313,0.75963,0.78576,0.50638,1.5135,1.21499,1.70896,0.000382115,0.000382115,0.000382115
39,324.279,1.13741,1.04064,1.35981,0.76749,0.76509,0.77668,0.5174,1.50348,1.1863,1.74356,0.00035382,0.00035382,0.00035382
40,332.442,1.1113,1.03042,1.34455,0.83237,0.74008,0.81988,0.53777,1.44653,1.14692,1.67874,0.000325526,0.000325526,0.000325526
41,361.341,1.10915,0.96748,1.39758,0.81107,0.7581,0.79219,0.52472,1.45618,1.21405,1.67121,0.000297232,0.000297232,0.000297232
42,369.432,1.09342,0.90093,1.39809,0.8091,0.70812,0.77099,0.51336,1.48585,1.21489,1.69608,0.000268938,0.000268938,0.000268938
43,377.533,1.04927,0.86497,1.37093,0.79253,0.75018,0.79445,0.5346,1.42993,1.17863,1.64706,0.000240644,0.000240644,0.000240644
44,385.731,1.0218,0.83699,1.34882,0.82977,0.74557,0.79413,0.55925,1.39742,1.15377,1.6215,0.000212349,0.000212349,0.000212349
45,393.891,1.01333,0.81772,1.33605,0.81745,0.77339,0.80125,0.555,1.40663,1.15302,1.62094,0.000184055,0.000184055,0.000184055
46,402.07,0.99238,0.80236,1.32084,0.84194,0.76773,0.79994,0.5662,1.38988,1.13805,1.61673,0.000155761,0.000155761,0.000155761
47,410.158,0.97296,0.78168,1.29739,0.82295,0.78362,0.81318,0.58023,1.32801,1.07341,1.56942,0.000127467,0.000127467,0.000127467
48,418.263,0.96349,0.75515,1.31093,0.84839,0.75506,0.81557,0.57807,1.37487,1.08929,1.60452,9.91726e-05,9.91726e-05,9.91726e-05
49,426.498,0.93857,0.74491,1.28464,0.80352,0.78755,0.80575,0.57336,1.38019,1.08345,1.60237,7.08784e-05,7.08784e-05,7.08784e-05
50,434.705,0.94514,0.73881,1.28707,0.78266,0.79303,0.80154,0.56691,1.37441,1.09892,1.60192,4.25842e-05,4.25842e-05,4.25842e-05
