epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.1459,0.70129,0.94711,1,0.16238,0.000407407,0.000407407,0.000407407
2,24.4053,0.15222,0.97048,1,0.08362,0.000742491,0.000742491,0.000742491
3,36.3822,0.09972,0.97048,1,0.07728,0.000995074,0.000995074,0.000995074
4,48.3252,0.14243,0.96556,1,0.09578,0.00087875,0.00087875,0.00087875
5,60.3265,0.10369,0.96925,1,0.1179,0.000755,0.000755,0.000755
6,72.4089,0.09725,0.95941,1,0.15891,0.00063125,0.00063125,0.00063125
7,84.3957,0.15262,0.9631,1,0.16354,0.0005075,0.0005075,0.0005075
8,96.2989,0.10812,0.96679,1,0.09191,0.00038375,0.00038375,0.00038375
9,108.301,0.0568,0.96556,1,0.0918,0.00026,0.00026,0.00026
10,120.254,0.06264,0.97171,1,0.08292,0.00013625,0.00013625,0.00013625
