epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.45596,0.86183,0.64988,1,0.66357,0.00015003,0.00015003,0.00015003
2,19.1375,0.2881,0.95204,1,0.19335,0.000254017,0.000254017,0.000254017
3,28.5466,0.1758,0.97362,1,0.10703,0.000291992,0.000291992,0.000291992
4,38.0751,0.07553,0.97362,1,0.08594,0.000263953,0.000263953,0.000263953
5,47.6243,0.23799,0.97362,1,0.08432,0.000169901,0.000169901,0.000169901
