epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.52279,1.68671,2.73152,1.73399,0.87684,0.07533,0.25795,0.09365,1.91855,2.83924,2.17026,0.000470858,0.000470858,0.000470858
2,17.8495,1.74583,2.30502,1.81328,0.46222,0.16361,0.10485,0.03447,2.91728,3.98018,3.01885,0.000900306,0.000900306,0.000900306
3,25.9714,1.73022,2.28483,1.81281,0.56728,0.15881,0.18981,0.06582,2.37448,4.17943,2.70152,0.0012826,0.0012826,0.0012826
4,34.0518,1.752,2.20564,1.81251,0.2807,0.32189,0.19765,0.07026,2.109,2.67413,2.44062,0.00121679,0.00121679,0.00121679
5,42.0961,1.66997,2.04805,1.76339,0.2926,0.49898,0.3241,0.13246,1.93372,2.47629,2.13416,0.00114606,0.00114606,0.00114606
6,50.1294,1.64061,1.95334,1.72886,0.4056,0.41395,0.36794,0.13069,2.14752,2.36839,2.32686,0.00107532,0.00107532,0.00107532
7,58.0868,1.59385,1.86552,1.71014,0.42747,0.35876,0.2146,0.07345,2.20313,2.87624,2.6601,0.00100459,0.00100459,0.00100459
8,66.0826,1.56073,1.80458,1.69019,0.55616,0.57815,0.56987,0.26864,1.80582,1.76373,2.05532,0.000933851,0.000933851,0.000933851
9,74.1561,1.55971,1.70651,1.65245,0.73971,0.48452,0.59941,0.28978,1.81188,1.80801,2.03345,0.000863116,0.000863116,0.000863116
10,82.1684,1.48148,1.67271,1.63301,0.70264,0.60761,0.65403,0.31803,1.76536,1.72067,2.0074,0.00079238,0.00079238,0.00079238
11,110.383,1.53212,1.74205,1.79762,0.66111,0.52288,0.57135,0.22936,1.9877,1.79314,2.24961,0.000721645,0.000721645,0.000721645
12,118.265,1.51372,1.59281,1.75391,0.67569,0.64422,0.65789,0.3604,1.64041,1.66637,1.90201,0.000650909,0.000650909,0.000650909
13,126.182,1.44657,1.50763,1.69707,0.57319,0.65337,0.64281,0.358,1.63478,1.59812,1.84611,0.000580174,0.000580174,0.000580174
14,134.025,1.43045,1.44665,1.66682,0.72993,0.65875,0.74368,0.41294,1.64678,1.47756,1.89579,0.000509438,0.000509438,0.000509438
15,141.859,1.35337,1.35424,1.63068,0.75951,0.73922,0.78942,0.43588,1.6143,1.42436,1.83328,0.000438703,0.000438703,0.000438703
16,149.701,1.31417,1.28922,1.58408,0.78421,0.72532,0.7605,0.4485,1.5492,1.47915,1.79587,0.000367967,0.000367967,0.000367967
17,157.623,1.28158,1.21648,1.53937,0.82973,0.7252,0.78426,0.43363,1.55596,1.40348,1.81786,0.000297232,0.000297232,0.000297232
18,165.49,1.22842,1.16761,1.51944,0.76767,0.7223,0.76433,0.45894,1.53508,1.40494,1.74236,0.000226497,0.000226497,0.000226497
19,173.366,1.1954,1.11258,1.48247,0.79214,0.73621,0.79594,0.50059,1.47217,1.2868,1.7199,0.000155761,0.000155761,0.000155761
20,181.234,1.1556,1.08473,1.45518,0.83967,0.7505,0.8071,0.50905,1.47297,1.26681,1.6921,8.50255e-05,8.50255e-05,8.50255e-05
