epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3205,1.27147,2.93282,1.73247,0.90421,0.30837,0.38126,0.19103,1.49394,2.12375,2.15371,0.000366125,0.000366125,0.000366125
2,28.4675,1.35553,1.95897,1.75505,0.64588,0.39061,0.39928,0.18799,1.60902,2.23423,2.2921,0.000721876,0.000721876,0.000721876
3,41.3224,1.30432,1.7525,1.71643,0.50341,0.4598,0.38174,0.18645,1.65442,2.36123,2.40243,0.00106296,0.00106296,0.00106296
4,54.0503,1.35481,1.61039,1.73907,0.6371,0.46123,0.43513,0.23545,1.46483,1.34612,2.18296,0.00104501,0.00104501,0.00104501
5,66.3525,1.28436,1.47965,1.68467,0.77802,0.50584,0.53677,0.26284,1.57735,1.28609,2.2347,0.00102301,0.00102301,0.00102301
6,78.6116,1.29302,1.40589,1.68036,0.73659,0.52356,0.52339,0.28963,1.46837,1.14006,2.11643,0.00100101,0.00100101,0.00100101
7,90.929,1.27793,1.32889,1.68023,0.67604,0.49173,0.52612,0.2839,1.50001,1.36584,2.1263,0.000979013,0.000979013,0.000979013
8,103.225,1.27767,1.28273,1.67759,0.68031,0.52846,0.52701,0.27218,1.45706,1.23173,2.10693,0.000957015,0.000957015,0.000957015
9,115.343,1.24867,1.20589,1.6522,0.66358,0.45156,0.5014,0.22235,1.82857,1.48936,2.34381,0.000935018,0.000935018,0.000935018
10,127.417,1.23679,1.2161,1.64763,0.84105,0.54736,0.59476,0.32117,1.46835,1.06116,2.08944,0.00091302,0.00091302,0.00091302
11,139.472,1.2181,1.13705,1.64579,0.7552,0.54085,0.57045,0.31389,1.45175,1.02209,2.08464,0.000891022,0.000891022,0.000891022
12,151.504,1.22222,1.11553,1.63894,0.68606,0.47152,0.53264,0.29484,1.51522,1.55243,2.07001,0.000869024,0.000869024,0.000869024
13,163.663,1.23436,1.09882,1.62628,0.6745,0.60131,0.66122,0.36913,1.39335,0.8959,1.9839,0.000847026,0.000847026,0.000847026
14,175.925,1.19352,1.05561,1.60551,0.62173,0.62574,0.6567,0.3571,1.41292,0.96989,1.96668,0.000825029,0.000825029,0.000825029
15,188.03,1.17808,1.04899,1.59316,0.66718,0.63842,0.66617,0.37328,1.38894,0.87772,1.92893,0.000803031,0.000803031,0.000803031
16,200.229,1.1739,1.00936,1.59808,0.61636,0.63216,0.66688,0.37645,1.32373,0.87076,1.87535,0.000781033,0.000781033,0.000781033
17,212.263,1.20834,1.04297,1.6041,0.60091,0.63255,0.67039,0.3766,1.4189,0.8835,1.98986,0.000759035,0.000759035,0.000759035
18,224.455,1.17938,0.99689,1.59411,0.5503,0.52892,0.57278,0.32112,1.44148,1.36219,1.96922,0.000737037,0.000737037,0.000737037
19,236.511,1.13448,0.99543,1.57029,0.67238,0.66625,0.69308,0.4064,1.29334,0.7703,1.87067,0.00071504,0.00071504,0.00071504
20,248.703,1.15321,0.95611,1.58542,0.67644,0.66407,0.69905,0.41696,1.28383,0.76505,1.83868,0.000693042,0.000693042,0.000693042
21,260.808,1.15379,0.96923,1.57742,0.68144,0.65201,0.69101,0.4002,1.2877,0.75137,1.85841,0.000671044,0.000671044,0.000671044
22,272.948,1.12199,0.93117,1.55456,0.68528,0.67205,0.72555,0.42505,1.28288,0.71754,1.82321,0.000649046,0.000649046,0.000649046
23,285.989,1.13001,0.91715,1.56607,0.67521,0.69692,0.7229,0.43517,1.25357,0.68214,1.81323,0.000627048,0.000627048,0.000627048
24,298.278,1.12335,0.90063,1.54008,0.70512,0.69221,0.72719,0.44708,1.21892,0.65874,1.76654,0.000605051,0.000605051,0.000605051
25,310.751,1.11591,0.88125,1.53183,0.72306,0.69389,0.72252,0.44001,1.22412,0.70752,1.78074,0.000583053,0.000583053,0.000583053
26,323.098,1.10624,0.86109,1.54097,0.71019,0.67631,0.73447,0.44133,1.26382,0.72204,1.79877,0.000561055,0.000561055,0.000561055
27,335.41,1.09708,0.84994,1.52926,0.68725,0.71945,0.71693,0.44008,1.21251,0.64886,1.74571,0.000539057,0.000539057,0.000539057
28,347.925,1.11983,0.86057,1.53598,0.7115,0.71986,0.7401,0.44766,1.18625,0.63924,1.72015,0.000517059,0.000517059,0.000517059
29,360.971,1.09308,0.84765,1.51551,0.71515,0.7173,0.74873,0.45682,1.20907,0.62557,1.76168,0.000495062,0.000495062,0.000495062
30,373.925,1.09328,0.85113,1.52797,0.89109,0.70567,0.7178,0.44317,1.20891,0.62602,1.79276,0.000473064,0.000473064,0.000473064
31,386.797,1.07265,0.80456,1.50721,0.71166,0.71346,0.73831,0.45628,1.2065,0.60654,1.7654,0.000451066,0.000451066,0.000451066
32,399.512,1.08696,0.8168,1.51497,0.71378,0.72276,0.74626,0.46586,1.19584,0.60691,1.74835,0.000429068,0.000429068,0.000429068
33,412.266,1.07398,0.79053,1.5057,0.7096,0.7266,0.74309,0.47046,1.14334,0.5714,1.69792,0.00040707,0.00040707,0.00040707
34,424.906,1.03883,0.76552,1.49458,0.73452,0.71597,0.75157,0.49053,1.15507,0.55901,1.72467,0.000385073,0.000385073,0.000385073
35,437.755,1.04565,0.78514,1.48008,0.7145,0.72451,0.75739,0.47814,1.13177,0.58205,1.6762,0.000363075,0.000363075,0.000363075
36,450.524,1.02552,0.74762,1.47402,0.73304,0.71191,0.75427,0.49596,1.13191,0.57035,1.67821,0.000341077,0.000341077,0.000341077
37,463.358,1.03817,0.75143,1.46846,0.74071,0.71498,0.7623,0.49248,1.11461,0.54942,1.66822,0.000319079,0.000319079,0.000319079
38,476.197,1.0426,0.74997,1.47099,0.74809,0.74958,0.76586,0.50394,1.10714,0.53577,1.64931,0.000297081,0.000297081,0.000297081
39,489.069,1.01345,0.71695,1.45287,0.74738,0.73194,0.77434,0.50986,1.10304,0.54258,1.62727,0.000275084,0.000275084,0.000275084
40,501.97,0.99133,0.70026,1.45687,0.75967,0.72465,0.76976,0.50823,1.09716,0.53627,1.62857,0.000253086,0.000253086,0.000253086
41,536.439,1.0376,0.64213,1.65031,0.73451,0.72567,0.76338,0.50105,1.09916,0.55328,1.62924,0.000231088,0.000231088,0.000231088
42,549.082,1.01993,0.5712,1.62358,0.76365,0.72677,0.77073,0.5184,1.071,0.53661,1.61184,0.00020909,0.00020909,0.00020909
43,561.769,1.01363,0.56499,1.61221,0.735,0.7389,0.77218,0.50251,1.07992,0.53297,1.62189,0.000187092,0.000187092,0.000187092
44,574.676,0.97686,0.5313,1.60273,0.73787,0.73816,0.7658,0.5185,1.06741,0.51304,1.57469,0.000165095,0.000165095,0.000165095
45,587.808,0.9999,0.52352,1.60419,0.7506,0.73903,0.77332,0.52808,1.05797,0.52037,1.57229,0.000143097,0.000143097,0.000143097
46,600.707,0.99557,0.51852,1.59624,0.94406,0.73522,0.77351,0.52513,1.05684,0.53671,1.56578,0.000121099,0.000121099,0.000121099
